key,name
0,wait
1,Key Item
2,Interaction
3,Sprint
4,Mount
5,Teleport
6,Return
7,Attack
8,Shot
9,Fast Blade
10,Rampart
11,Savage Blade
12,Convalescence
13,Awareness
14,Flash
15,Riot Blade
16,Shield Bash
17,Sentinel
18,Provoke
19,Tempered Will
20,Fight or Flight
21,Rage of Halone
22,Bulwark
23,Circle of Scorn
24,Shield Lob
25,Shield Swipe
26,Sword Oath
27,Cover
28,Shield Oath
29,Spirits Within
30,Hallowed Ground
31,Heavy Swing
32,Foresight
33,Fracture
34,Bloodbath
35,Skull Sunder
36,Mercy Stroke
37,Maim
38,Berserk
39,Brutal Swing
40,Thrill of Battle
41,Overpower
42,Storm's Path
43,Holmgang
44,Vengeance
45,Storm's Eye
46,Tomahawk
47,Butcher's Block
48,Defiance
49,Inner Beast
50,Unchained
51,Steel Cyclone
52,Infuriate
53,Bootshine
54,True Strike
55,Featherfoot
56,Snap Punch
57,Second Wind
58,Haymaker
59,Internal Release
60,Fists of Earth
61,Twin Snakes
62,Arm of the Destroyer
63,Fists of Fire
64,Steel Peak
65,Mantra
66,Demolish
67,Howling Fist
68,Touch of Death
69,Perfect Balance
70,Rockbreaker
71,Shoulder Tackle
72,One Ilm Punch
73,Fists of Wind
74,Dragon Kick
75,True Thrust
76,Feint
77,Keen Flurry
78,Vorpal Thrust
79,Heavy Thrust
80,Invigorate
81,Impulse Drive
82,Leg Sweep
83,Life Surge
84,Full Thrust
85,Blood for Blood
86,Doom Spike
87,Disembowel
88,Chaos Thrust
89,Ring of Thorns
90,Piercing Talon
91,Phlebotomize
92,Jump
93,Power Surge
94,Elusive Jump
95,Spineshatter Dive
96,Dragonfire Dive
97,Heavy Shot
98,Straight Shot
99,Hawk's Eye
100,Venomous Bite
101,Raging Strikes
102,Flaming Arrow
103,Misery's End
104,Quelling Strikes
105,Swiftsong
106,Quick Nock
107,Barrage
108,Shadowbind
109,Blunt Arrow
110,Bloodletter
111,Wide Volley
112,Repelling Shot
113,Windbite
114,Mage's Ballad
115,Foe Requiem
116,Army's Paeon
117,Rain of Death
118,Battle Voice
119,Stone
120,Cure
121,Aero
122,Cleric Stance
123,Protect
124,Medica
125,Raise
126,Esuna
127,Stone II
128,Repose
129,Stoneskin
130,Shroud of Saints
131,Cure III
132,Aero II
133,Medica II
134,Fluid Aura
135,Cure II
136,Presence of Mind
137,Regen
138,Divine Seal
139,Holy
140,Benediction
141,Fire
142,Blizzard
143,Surecast
144,Thunder
145,Sleep
146,Blizzard II
147,Fire II
148,Thunder II
149,Transpose
150,Swiftcast
151,Lethargy
152,Fire III
153,Thunder III
154,Blizzard III
155,Aetherial Manipulation
156,Scathe
157,Manaward
158,Convert
159,Freeze
160,Apocatastasis
161,Manawall
162,Flare
163,Ruin
164,Bio
165,Summon
166,Aetherflow
167,Energy Drain
168,Miasma
169,Virus
170,Summon II
171,Sustain
172,Ruin II
173,Resurrection
174,Bane
175,Eye for an Eye
176,Rouse
177,Miasma II
178,Bio II
179,Shadow Flare
180,Summon III
181,Fester
182,Tri-bind
183,Spur
184,Enkindle
185,Adloquium
186,Succor
187,Leeches
188,Sacred Soil
189,Lustrate
190,Physick
191,Stoneskin II
192,
193,
194,
195,
196,反撃効果
197,Shield Wall
198,Mighty Guard
199,Last Bastion
200,Braver
201,Bladedance
202,Final Heaven
203,Skyshard
204,Starstorm
205,Meteor
206,Healing Wind
207,Breath of the Earth
208,Pulse of Life
209,Limit Break
210,Triangulate
211,Arbor Call
212,Stealth
213,Preparation
214,Toil of the Pioneer
215,Ageless Words
216,Brunt Force
217,Nophica's Ward
218,Field Mastery
219,Byregot's Ward
220,Field Mastery II
221,Truth of Forests
222,Blessed Harvest
223,
224,Blessed Harvest II
225,Leaf Turn
226,Leaf Turn II
227,Prospect
228,Lay of the Land
229,Stealth
230,Preparation
231,Toil of the Mountaineer
232,Solid Reason
233,Deep Vigor
234,Nald'thal's Ward
235,Sharp Vision
236,Menphina's Ward
237,Sharp Vision II
238,Truth of Mountains
239,King's Yield
240,
241,King's Yield II
242,Unearth
243,Unearth II
244,Steady Hand
245,Steady Hand
246,Steady Hand
247,Steady Hand
248,Steady Hand
249,Steady Hand
250,Steady Hand
251,Steady Hand
252,Inner Quiet
253,Inner Quiet
254,Inner Quiet
255,Inner Quiet
256,Inner Quiet
257,Inner Quiet
258,Inner Quiet
259,Inner Quiet
260,Great Strides
261,Great Strides
262,Great Strides
263,Great Strides
264,Great Strides
265,Great Strides
266,Great Strides
267,Great Strides
268,
269,
270,
271,
272,
273,
274,
275,
276,Rumination
277,Ingenuity
278,Manipulation
279,Waste Not
280,
281,Steady Hand II
282,
283,Ingenuity II
284,Innovation
285,Waste Not II
286,Comfort Zone
287,Reclaim
288,Bait
289,Cast
290,Arbor Call II
291,Lay of the Land II
292,Llymlaen's Ward
293,Thaliak's Ward
294,Field Mastery III
295,Sharp Vision III
296,Hook
297,Mooch
298,Stealth
299,Quit
300,Release
301,
302,
303,
304,
305,
306,
307,Silence
308,Paralyze
309,Haste
310,Slow
311,Blaze Spikes
312,Ice Spikes
313,Shock Spikes
314,物理ストンスキン
315,魔法ストンスキン
316,Stoneskin
317,Foul Breath
318,Frost Breath
319,Hoofkick
320,Stampede
321,Big Horn
322,Stone Throw
323,Soil Smear
324,Greedy Grab
325,Thunderstrike
326,Thunderstorm
327,Sticky Web
328,Caustic Spray
329,Deadly Thrust
330,Deadly Thrust
331,Wing Cutter
332,Bloodcurdling Caw
333,Yolk Shower
334,Reckless Charge
335,Bristle
336,Bellowing Grunt
337,Self-destruct
338,Combustion
339,Deflagration
340,Mortify
341,Hell Slash
342,Soul Drain
343,Doom
344,Seedvolley
345,Sour Sough
346,Swift Sough
347,Sticky Tongue
348,Slimy Secretion
349,Languid Lap
350,Microblaster
351,Charged Whisker
352,Chaotic Eye
353,Blaster
354,Curiosity
355,Megablaster
356,Iron Justice
357,King's Will
358,Blade of Suffering
359,Blade of Absolution
360,Blade of Repentance
361,Flat Blade
362,Mind Blast
363,Drain Touch
364,Acid Mist
365,Acid Mist
366,Acid Mist
367,Acid Mist
368,Mudslinger
369,Stone Throw
370,Bombardier
371,Infestation
372,Spoil
373,Somersault Slash
374,Nutshell
375,Nutshell
376,Nutshell
377,Scamper
378,Blood Drain
379,Ultrasonics
380,Ultrasonics
381,Aqueous Discharge
382,Viscous Discharge
383,Mucous Discharge
384,Agitation
385,Agitation
386,Agitation
387,Snap Jaw
388,Corrosive Spit
389,Corrosive Spit
390,Proboscis
391,Blood Drain
392,Blood Drain
